date,year,doy,latitude,longitude,LST,pixel_id,x,y
2023-12-13,2023,347,-3.111857315983076,-54.87925955078243,297.005,735693_9655805,735693.5363131408,9655805.99953645
2023-12-13,2023,347,-3.097228943857183,-55.07716100572078,296.81427,713693_9657465,713693.5363131408,9657465.99953645
2023-12-13,2023,347,-3.0971926749253678,-55.05737277246264,297.00507,715893_9657465,715893.5363131408,9657465.99953645
2023-12-13,2023,347,-3.0971560352282492,-55.03758477323941,297.36246,718093_9657465,718093.5363131408,9657465.99953645
2023-12-13,2023,347,-3.0971190247876756,-55.01779701043126,297.01166,720293_9657465,720293.5363131408,9657465.99953645
2023-12-13,2023,347,-3.0970816436257174,-54.99800948641824,297.17944,722493_9657465,722493.5363131408,9657465.99953645
2023-12-13,2023,347,-3.0970438917646623,-54.97822220358026,296.36874,724693_9657465,724693.5363131408,9657465.99953645
2023-12-13,2023,347,-3.096889177782985,-54.89907553157148,296.56293,733493_9657465,733493.5363131408,9657465.99953645
2023-12-13,2023,347,-3.0968495727685044,-54.879289490301986,296.40085,735693_9657465,735693.5363131408,9657465.99953645
2023-12-13,2023,347,-3.0968095971932916,-54.85950370448382,296.33548,737893_9657465,737893.5363131408,9657465.99953645
2023-12-13,2023,347,-3.0967692510811773,-54.839718176495836,296.6608,740093_9657465,740093.5363131408,9657465.99953645
2023-12-13,2023,347,-3.0822550780494575,-55.09697621154404,296.55133,711493_9659125,711493.5363131408,9659125.99953645
2023-12-13,2023,347,-3.082219354195249,-55.07718802427547,296.5336,713693_9659125,713693.5363131408,9659125.99953645
2023-12-13,2023,347,-3.0821832613543223,-55.05740006864534,296.99377,715893_9659125,715893.5363131408,9659125.99953645
2023-12-13,2023,347,-3.0821467995482,-55.03761234703381,296.81412,718093_9659125,718093.5363131408,9659125.99953645
2023-12-13,2023,347,-3.082109968798623,-55.0178248618209,296.63052,720293_9659125,720293.5363131408,9659125.99953645
2023-12-13,2023,347,-3.0820727691275547,-54.99803761538648,296.38794,722493_9659125,722493.5363131408,9659125.99953645
2023-12-13,2023,347,-3.082035200557174,-54.97825061011029,296.60397,724693_9659125,724693.5363131408,9659125.99953645
2023-12-13,2023,347,-3.0819972631098826,-54.958463848371906,296.47217,726893_9659125,726893.5363131408,9659125.99953645
2023-12-13,2023,347,-3.0819589568082995,-54.93867733255079,296.55045,729093_9659125,729093.5363131408,9659125.99953645
2023-12-13,2023,347,-3.0819202816752638,-54.91889106502622,296.64297,731293_9659125,731293.5363131408,9659125.99953645
2023-12-13,2023,347,-3.0818418250072845,-54.879319284383165,296.33823,735693_9659125,735693.5363131408,9659125.99953645
2023-12-13,2023,347,-3.0818020435191142,-54.859533776022516,296.51523,737893_9659125,737893.5363131408,9659125.99953645
2023-12-13,2023,347,-3.0817618932930384,-54.839748525474086,296.351,740093_9659125,740093.5363131408,9659125.99953645
2023-12-13,2023,347,-3.08172137435299,-54.81996353511641,296.14868,742293_9659125,742293.5363131408,9659125.99953645
2023-12-13,2023,347,-3.067280491986612,-55.116790962150866,296.0875,709293_9660785,709293.5363131408,9660785.99953645
2023-12-13,2023,347,-3.0672453096261636,-55.09700282192901,296.51035,711493_9660785,711493.5363131408,9660785.99953645
2023-12-13,2023,347,-3.0672097600579615,-55.077214910949394,296.98245,713693_9660785,713693.5363131408,9660785.99953645
